log_likelihood_ratio,likelihood_ratio,prob_A
1957.8,inf,
304.505,1.75717e+132,
7972.39,inf,
1042.04,0.0,
153.857,1.51591e-67,
1439.93,inf,
2651.69,inf,
2836.32,inf,
2307.63,inf,
5678.16,inf,
8878.06,inf,1.0
10632.1,inf,1.0
12534.8,inf,
5792.89,0.0,
1435.82,0.0,
733.239,inf,
713.249,1.73769e-310,0.0
4845.1,inf,1.0
1839.05,inf,
2950.94,inf,
3627.83,inf,
4815.95,inf,
2903.02,inf,
3941.73,inf,
5110.5,inf,
6244.07,inf,
2128.36,inf,1.0
16667.6,inf,
5750.41,inf,
146.142,3.39852e-64,
2219.69,0.0,
1535.29,0.0,
4044.83,0.0,
1178.46,inf,
1608.59,inf,
6337.68,inf,
1806.37,inf,
764.508,0.0,
3836.58,inf,
1590.98,inf,
11495.0,inf,
1580.86,inf,
13233.8,inf,
2407.58,0.0,
1837.88,inf,
336.569,1.47923e+146,
6557.53,inf,
1517.09,0.0,
5165.91,inf,
935.121,inf,
8354.92,inf,
3438.71,inf,
3156.29,0.0,
7336.96,inf,
386.475,1.43177e-168,
8271.73,inf,
591.904,1.1501e+257,
3218.35,inf,
3823.39,inf,
7031.84,0.0,
12167.4,inf,
1719.37,0.0,
12461.6,inf,
3671.52,inf,
7023.01,0.0,
696.807,4.16178e+302,
870.014,0.0,
309.047,1.65038e+134,
7791.45,inf,
10623.6,inf,
4435.87,inf,
1052.95,inf,
322.32,9.58631e+139,
12492.5,inf,
3676.76,inf,
1284.4,inf,
3461.92,inf,
7248.26,inf,
1996.45,inf,
1031.88,inf,
2380.76,0.0,
9679.92,inf,
854.676,inf,
1976.41,0.0,
1145.28,0.0,
1193.69,0.0,
933.59,0.0,
3541.58,inf,
3.91355,50.0763,
3222.18,inf,
2139.38,inf,
5491.51,inf,
4004.16,inf,
994.182,inf,
1091.09,inf,
4500.22,inf,
3382.3,0.0,
2727.58,inf,
2459.73,inf,
1656.83,0.0,
1655.96,0.0,
10043.9,inf,
1352.96,0.0,
12125.4,inf,
1886.71,inf,
13037.2,inf,
1240.95,0.0,
4733.19,0.0,
7706.57,inf,
4500.69,inf,
4190.43,inf,
424.482,2.2399e+184,
1204.44,0.0,
2722.68,0.0,0.0
4467.35,inf,
1733.69,inf,
5388.51,inf,
1797.96,inf,
385.824,2.74505e-168,
4409.53,0.0,
13673.2,inf,
2857.06,inf,
10897.8,inf,
1300.08,inf,
5876.01,inf,
909.69,inf,
179.332,7.63927e+77,
12878.2,inf,
9799.51,inf,
1012.69,inf,
2272.47,0.0,
2981.32,inf,
2893.36,inf,
57.724,1.17276e+25,
3013.23,0.0,
7755.26,0.0,
1816.58,0.0,
5512.82,0.0,
2125.91,0.0,
7074.48,inf,
11002.3,inf,
10447.3,inf,
11926.0,inf,
801.767,inf,
839.937,0.0,
517.946,1.14585e-225,
3545.75,0.0,
4639.48,0.0,
4155.36,inf,
791.4,inf,
9094.89,inf,
208.48,2.87239e-91,
1705.98,inf,
8082.41,inf,
7961.22,inf,
1329.21,0.0,
2249.57,inf,
1417.2,inf,
10104.4,0.0,
7069.52,inf,
4295.39,0.0,
12285.7,inf,
5039.3,inf,
99.4387,1.53351e+43,
1630.59,0.0,
658.177,1.43678e-286,
1733.59,0.0,
2820.18,inf,
1585.82,inf,
3611.79,inf,
3304.39,inf,
2742.55,inf,
2877.6,0.0,
766.637,inf,
1195.3,0.0,
3122.77,0.0,
1563.46,0.0,
1009.32,0.0,
518.109,9.73333e-226,
5493.9,0.0,
12.372,4.23551e-06,
3704.17,inf,
733.544,2.66603e-319,
9196.79,inf,
298.613,2.06e-130,
2401.3,0.0,
891.098,inf,
5976.43,0.0,
1388.81,inf,
889.377,0.0,
3217.54,inf,
2670.35,0.0,
3836.48,inf,
5727.43,inf,
20.2822,1.55436e-09,
15424.5,inf,
1200.25,inf,
717.551,2.3523e-312,
2231.37,0.0,
438.047,5.73544e-191,
1483.36,inf,
1535.07,inf,
1171.86,inf,
5603.78,inf,
1135.1,inf,
6632.2,inf,
2628.41,inf,
8680.29,inf,
2078.29,inf,
510.489,5.04001e+221,
2572.67,0.0,
2336.48,0.0,
8118.06,inf,
1676.56,inf,
1954.58,0.0,
799.137,0.0,
937.225,inf,
3070.86,0.0,
2395.75,0.0,
608.072,1.20816e+264,
4646.87,inf,
1160.79,inf,
933.235,0.0,
3412.74,inf,
387.968,3.21772e-169,
6813.05,inf,
2592.25,inf,
870.512,0.0,
1927.28,0.0,0.0
3711.15,0.0,0.0
4273.24,0.0,
1032.95,inf,
4193.82,inf,
7913.19,inf,
305.643,5.48309e+132,
188.123,1.9915e-82,
6728.27,inf,
2485.86,inf,
1271.62,0.0,
8432.55,0.0,
1371.32,inf,
253.428,8.66003e-111,
1202.47,inf,
109.057,2.30508e+47,
1777.78,inf,
1644.89,inf,
5.63699,0.00356357,
1211.86,inf,
1389.28,inf,
888.622,inf,
2771.3,inf,
6709.48,inf,
5580.27,inf,
7420.86,inf,
3526.11,inf,
12904.6,inf,
4041.55,inf,
784.243,inf,
584.814,9.57902e+253,
17.1761,3.47146e-08,
10599.0,0.0,
215.25,3.29722e-94,
6849.89,inf,
5954.75,inf,
7384.69,inf,
4311.25,inf,
2615.47,inf,
693.01,9.34519e+300,
3835.3,inf,
955.064,inf,
1750.51,inf,
4298.35,0.0,
3286.75,0.0,
24.5269,2.22901e-11,
1934.84,0.0,
2316.95,inf,
2238.84,inf,
1364.49,inf,
6911.72,0.0,
2313.74,0.0,0.0
2053.24,0.0,0.0
2195.03,0.0,0.0
7325.42,inf,
4962.98,0.0,
983.043,0.0,
4242.48,0.0,
1081.58,inf,
3304.67,inf,
365.821,7.48392e+158,
9611.7,0.0,
9202.17,inf,
211.051,4.55497e+91,
461.349,4.3522e-201,
5694.87,inf,
564.939,2.23843e+245,
2889.45,0.0,
9992.96,inf,1.0
4370.12,inf,1.0
14959.7,inf,1.0
6504.95,inf,1.0
20638.8,inf,
1046.45,inf,
794.949,inf,
4343.75,0.0,
2808.71,inf,1.0
6188.48,inf,
6287.41,inf,
4034.38,inf,
4729.52,inf,
12648.4,inf,1.0
7452.42,inf,1.0
8750.3,inf,
4158.65,0.0,
5602.31,inf,
8197.4,inf,
5956.68,inf,
2015.87,inf,
4339.39,inf,
55.3253,9.38689e-25,
23690.9,inf,
55.9067,5.24823e-25,
331.031,1.71898e-144,
3310.09,0.0,
5112.42,0.0,
20478.1,inf,
469.512,1.24009e-204,
3160.47,0.0,
906.616,inf,
747.947,inf,
3689.05,inf,
1143.71,0.0,
1606.22,0.0,
4372.39,0.0,
1913.49,0.0,
2632.88,0.0,0.0
874.458,0.0,
4698.81,0.0,
1352.02,0.0,
1162.96,0.0,
1045.77,inf,
7622.73,inf,
6398.18,inf,
7333.64,inf,
5303.98,inf,
2533.71,inf,
3789.17,inf,
690.119,5.18685e+299,
427.979,7.39194e+185,
3667.34,inf,
1230.57,inf,
3468.65,inf,
3500.83,inf,
2064.31,0.0,
2550.57,inf,
1715.68,inf,
10148.1,inf,
9819.98,inf,
928.143,inf,
4765.86,inf,
3761.71,0.0,
5835.36,inf,
62.0547,8.91279e+26,
2118.46,0.0,
3760.33,inf,
213.536,5.46254e+92,
4802.57,0.0,0.0
4270.85,inf,
1039.89,inf,
2867.73,inf,
938.044,inf,
15237.6,inf,
1153.38,inf,
1261.91,inf,
2353.31,inf,
2590.6,inf,
5184.93,inf,
1385.04,0.0,
271.328,1.4582e-118,
10177.6,inf,
4130.12,0.0,
6184.51,inf,
5752.08,inf,
431.243,1.93444e+187,
561.594,7.89234e+243,
4448.26,inf,
13232.6,inf,
231.644,2.50127e-101,
3753.52,inf,
2839.25,inf,
792.994,inf,
7539.56,inf,
3542.66,inf,
5942.22,inf,
1124.55,0.0,
11208.9,inf,
1542.43,0.0,
8679.11,inf,
4008.02,inf,
766.403,inf,
812.575,inf,
227.77,8.30287e+98,
3701.09,inf,
6544.11,inf,
6664.29,inf,
6074.33,inf,
1624.37,inf,
3949.41,inf,
5868.57,inf,
1590.33,inf,
2168.66,0.0,
4376.24,inf,
26751.8,inf,
7142.16,inf,
6094.67,inf,
2677.77,0.0,
3045.14,0.0,
4570.87,inf,
7831.09,inf,
6123.71,0.0,
256.508,3.98278e-112,
5106.85,inf,
1769.15,inf,
8293.99,inf,
1260.89,inf,
684.864,2.70729e+297,
3967.53,0.0,
8506.4,inf,
6049.53,inf,
6052.6,inf,
12521.0,inf,
1194.96,0.0,
2530.64,inf,
3198.88,0.0,
10793.7,inf,
14927.5,inf,
1038.41,inf,
7035.72,inf,
5120.18,0.0,
452.088,2.18477e+196,
2296.02,inf,
11002.7,inf,
2451.54,inf,
303.286,1.92523e-132,
1637.57,inf,
352.542,1.27903e+153,
2094.77,inf,
9849.8,0.0,
229.03,3.41607e-100,
1352.25,0.0,
557.121,9.00854e+241,
6196.8,inf,
49.5978,2.88375e-22,
3140.15,inf,
589.376,9.18094e+255,
3547.76,inf,
1151.09,inf,
321.837,1.69023e-140,
3624.07,inf,
1460.08,inf,
5558.22,inf,
5184.4,inf,
2070.65,inf,
2047.79,0.0,
700.275,7.49073e-305,
512.547,3.94909e+222,
1572.78,inf,
1677.83,inf,
4788.39,0.0,
2001.84,inf,
2084.12,inf,
2853.86,inf,
7813.18,inf,
778.21,0.0,
5217.86,inf,
523.606,3.98741e-228,
2384.19,0.0,
1082.97,0.0,
1335.75,0.0,
2212.03,inf,
616.88,1.23668e-268,
649.791,6.30013e-283,
459.099,4.12812e-200,
2516.89,0.0,
2291.42,inf,
844.328,0.0,
3137.56,inf,
6852.89,inf,
3069.35,inf,
7427.62,inf,1.0
1755.19,inf,
7128.1,inf,1.0
688.472,1.00063e-299,
571.824,2.18693e+248,
7712.21,inf,
863.987,inf,
5202.66,0.0,
8322.49,inf,
3992.05,inf,
8956.4,inf,
4450.11,inf,
4625.39,inf,
5730.94,inf,
9813.65,inf,
985.676,inf,
12997.0,inf,
883.316,inf,
3517.22,inf,
1012.18,inf,
3319.21,inf,
515.944,1.17918e+224,
3526.58,inf,
537.265,2.14459e+233,
1238.74,0.0,
5042.6,inf,
822.044,0.0,
2919.85,inf,
892.937,0.0,
1435.1,0.0,
11476.3,inf,
7217.16,inf,
3450.18,inf,
2350.9,inf,
1545.16,inf,
3370.08,inf,
987.733,0.0,
19.5416,3.2597e-09,
3770.09,inf,
722.061,inf,
4374.43,inf,
7550.16,inf,
6962.27,inf,
796.35,0.0,
4311.98,inf,
4919.2,0.0,
3808.04,inf,
2739.06,inf,
1621.9,inf,
13140.4,0.0,
4721.86,0.0,
9778.7,0.0,
1148.75,0.0,
1235.57,inf,
3783.56,inf,
1761.04,inf,
598.251,6.5648e+259,
4065.86,inf,
1185.88,inf,
4362.75,inf,
4275.0,0.0,
850.364,0.0,
5483.9,inf,
692.059,3.6095e+300,
3093.76,inf,
3007.4,inf,
3048.98,inf,
974.45,inf,
3226.1,inf,
2097.09,inf,
12798.9,inf,
3956.69,inf,
5163.4,inf,
2252.05,inf,
7809.41,inf,
2004.87,inf,
1525.92,inf,
1559.71,inf,
589.172,7.48759e+255,
9524.26,0.0,
3741.09,inf,
5030.73,inf,
4579.78,0.0,
3370.83,inf,
2005.42,inf,
341.711,2.53014e+148,
673.404,3.50332e-293,
2329.29,0.0,
3522.45,inf,
3669.13,inf,
4979.2,inf,
2938.09,inf,
7104.08,inf,
3386.52,inf,
10176.3,inf,
411.722,1.55317e-179,
5568.04,inf,
1143.78,0.0,
478.566,6.89835e+207,
2850.73,inf,
2545.59,0.0,
2393.6,0.0,
1247.82,inf,
135.844,1.00861e-59,
1523.89,inf,
3925.38,inf,
2058.69,inf,
116.494,2.55418e-51,
1349.9,inf,
4550.91,0.0,
8070.39,inf,
1422.67,inf,
1496.76,0.0,
638.418,1.8257e+277,
3902.75,inf,
9075.73,inf,
2282.95,inf,
266.72,6.8372e+115,
4155.32,inf,
5654.69,inf,
2146.27,0.0,
3693.6,inf,
1791.73,inf,
1902.11,inf,
3242.64,inf,
609.998,8.29565e+264,
3493.19,inf,
8258.09,inf,
2990.3,inf,
1513.58,0.0,
4265.31,inf,
4160.2,inf,
2778.54,inf,
4297.88,inf,
2528.12,inf,
6152.5,0.0,
