mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
0.500488,3.04996,0.0912098,0.151911,0.151911,3.23152
0.560872,2.87721,0.0785625,0.144411,0.144411,2.84264
0.534198,3.20247,0.0765099,0.0378361,0.0378361,3.68194
0.542371,3.03825,0.0657922,0.0602884,0.0602884,4.02551
0.514194,2.8261,0.0811503,0.0917962,0.0917962,2.29676
0.524465,2.79826,0.082655,0.155286,0.155286,3.26213
0.523344,2.91405,0.0805294,0.173904,0.173904,3.77792
0.537328,2.95232,0.0769416,0.0788647,0.0788647,3.38074
0.513476,2.75244,0.0643607,0.0607059,0.0607059,2.82717
0.548431,3.15008,0.0870771,0.109116,0.109116,3.02939
0.514743,2.64693,0.0666044,0.084737,0.084737,2.29863
0.52278,2.81345,0.0751721,0.0461131,0.0461131,3.04324
0.492329,2.70874,0.0740749,0.153845,0.153845,2.96225
0.51238,2.77843,0.0910521,0.157547,0.157547,3.64501
0.498859,2.88983,0.0617515,0.0654204,0.0654204,2.66334
0.553684,2.85776,0.0887761,0.0839433,0.0839433,3.60373
0.556436,2.78354,0.0667867,0.0589079,0.0589079,2.4871
0.509096,3.07172,0.0845256,0.0964942,0.0964942,3.56133
0.513987,2.90091,0.0788603,0.107395,0.107395,3.30997
0.561462,2.95792,0.0754538,0.126435,0.126435,3.43858
0.532858,3.07353,0.0706457,0.135494,0.135494,3.54568
0.481255,2.74129,0.0948405,0.102761,0.102761,3.02229
0.508914,2.86598,0.0707134,0.0667554,0.0667554,3.54557
0.509197,2.75278,0.0683807,0.113869,0.113869,2.98785
0.507219,2.89133,0.0725876,0.129516,0.129516,3.0254
0.525336,2.8937,0.085805,0.107975,0.107975,4.07838
0.511505,2.38136,0.0636512,0.108147,0.108147,3.09047
0.517947,2.58814,0.0708107,0.0963878,0.0963878,3.25132
0.477294,2.94781,0.0900454,0.0621998,0.0621998,2.65374
0.496001,3.08507,0.0860975,0.0534535,0.0534535,2.7081
0.469908,2.59818,0.107625,0.0891485,0.0891485,4.11102
0.514365,2.91025,0.0714734,0.106018,0.106018,3.31285
0.53103,2.88183,0.0796731,0.0828037,0.0828037,3.50108
0.502692,2.67105,0.0635882,0.126835,0.126835,3.48435
0.513826,2.81707,0.0683585,0.168956,0.168956,4.03651
0.499153,2.8361,0.066439,0.17258,0.17258,4.13536
0.545922,2.75681,0.0622384,0.134616,0.134616,3.66397
0.519553,2.95379,0.0837592,0.0280938,0.0280938,2.59062
0.551032,2.938,0.0881465,-0.00132556,-0.00132556,2.47345
0.501262,2.92454,0.0614253,0.115444,0.115444,2.45385
0.529682,2.83841,0.0857844,0.0788808,0.0788808,3.32069
0.530187,2.79589,0.0608473,0.0564461,0.0564461,2.75495
0.530187,2.79589,0.0608473,0.0564461,0.0564461,2.75495
0.557949,3.10179,0.0755895,0.155014,0.155014,2.9777
0.495491,2.67644,0.0562121,0.0743326,0.0743326,3.26776
0.521282,2.91199,0.0644157,0.0880001,0.0880001,3.69699
0.534949,3.12302,0.0737679,0.0958534,0.0958534,3.26985
0.539593,3.01106,0.0550657,0.0328174,0.0328174,4.69283
0.521918,2.77202,0.0879858,0.113696,0.113696,3.07459
0.551031,3.08403,0.0927592,0.134766,0.134766,2.84686
0.521101,2.82055,0.0786522,0.101282,0.101282,3.3904
0.506746,2.61166,0.0620006,0.136574,0.136574,2.83503
0.474888,2.95715,0.0896885,0.0920274,0.0920274,2.81698
0.535613,2.95018,0.100266,0.146084,0.146084,3.53927
0.487479,2.86745,0.0575429,0.129093,0.129093,3.55105
0.495783,2.90948,0.0725294,0.104915,0.104915,2.18003
0.502851,3.06875,0.0747818,0.0872159,0.0872159,2.34503
0.543635,2.71304,0.0765343,0.0318207,0.0318207,4.13578
0.510832,2.75968,0.0770947,0.0864295,0.0864295,3.62249
0.550092,3.07737,0.07675,0.07509,0.07509,2.58229
0.629514,2.73526,0.0651447,0.0810739,0.0810739,2.81094
0.564863,2.57713,0.0688295,0.0922765,0.0922765,2.63567
0.549135,2.83983,0.0645795,0.102431,0.102431,2.87313
0.536093,2.84621,0.0918342,0.0450615,0.0450615,3.2888
0.485142,3.18945,0.0736813,0.0524268,0.0524268,3.02444
0.504163,2.90347,0.0661631,0.0584215,0.0584215,3.17525
0.543983,2.88486,0.0816766,0.101824,0.101824,2.80343
0.533091,2.83749,0.0683858,0.0602159,0.0602159,3.20685
0.610634,2.73779,0.0892971,0.109691,0.109691,2.91959
0.595201,2.85201,0.092551,0.107228,0.107228,3.25219
0.593732,2.97905,0.0766162,0.112462,0.112462,3.19462
0.460235,2.89784,0.0742802,0.0397251,0.0397251,2.68369
0.563384,2.88469,0.0643464,0.103265,0.103265,3.1491
0.5135,2.98032,0.0893802,0.0301157,0.0301157,3.06979
0.515652,2.83265,0.0793392,0.0862768,0.0862768,2.83527
0.51982,3.10043,0.0792137,0.163924,0.163924,3.00443
0.544562,2.94601,0.100956,0.220716,0.220716,2.76787
0.534326,3.06477,0.10173,0.225939,0.225939,3.13059
