mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
10.318,3.20266,3.46053,1.68793,1.68793,2.47391
10.8734,3.09485,5.20544,2.51745,2.51745,2.82142
10.6249,3.20614,5.24713,2.57912,2.57912,2.90311
11.0821,3.39361,4.94298,2.33338,2.33338,2.18292
10.3788,2.8831,5.12822,2.39572,2.39572,2.9558
10.4934,3.17053,4.85336,2.19696,2.19696,2.3279
10.4022,3.07831,4.99546,2.50247,2.50247,2.7851
10.6431,3.19514,4.43043,2.34364,2.34364,2.51668
10.3853,2.94038,4.7416,2.22744,2.22744,3.0706
10.3187,2.99318,4.42001,2.04398,2.04398,2.19414
10.5263,3.07673,4.71508,2.22451,2.22451,2.68378
10.596,3.03371,3.60555,1.8006,1.8006,2.13207
10.6635,3.13346,4.18544,1.86162,1.86162,2.12581
10.8472,3.40629,4.88721,2.76373,2.76373,3.06192
10.8269,3.21708,6.6128,3.2005,3.2005,2.96935
10.6491,3.10322,4.88051,2.83981,2.83981,2.94498
10.7752,3.31099,5.30433,2.56126,2.56126,2.54106
10.67,3.14812,4.34818,2.77078,2.77078,3.38684
11.2254,3.57377,6.06154,2.52769,2.52769,2.46615
10.1305,2.85094,5.22862,2.16364,2.16364,2.42415
10.6755,3.12588,5.13212,3.00533,3.00533,3.18219
11.0059,3.3871,5.59757,2.29591,2.29591,2.52119
10.3867,3.00315,4.31496,2.74197,2.74197,3.22406
11.0674,3.42691,4.72715,2.48018,2.48018,2.60512
10.9581,3.42074,4.59058,2.30973,2.30973,2.55955
10.5072,3.04592,3.82617,2.03541,2.03541,2.45116
10.3279,2.93351,5.92628,3.15636,3.15636,3.10231
10.4928,3.01767,4.64391,2.60653,2.60653,2.74174
10.3498,3.16694,4.37685,2.40472,2.40472,2.6303
10.7554,3.1919,4.92781,2.09817,2.09817,2.29854
10.7299,3.20764,5.13941,2.68272,2.68272,2.85235
10.4874,3.25542,5.07009,2.5993,2.5993,2.84223
10.6162,3.13022,4.55525,2.50124,2.50124,2.81807
10.7654,3.25046,3.41274,2.13349,2.13349,2.6475
10.5436,3.49849,3.9456,2.30854,2.30854,2.71962
10.8751,3.29165,4.92852,1.90603,1.90603,2.30177
10.5461,3.16403,4.87804,3.06918,3.06918,3.30726
10.5449,2.93989,5.0351,1.89028,1.89028,2.46591
10.7248,2.85806,4.73735,1.94029,1.94029,2.37772
10.7861,3.44986,4.10541,1.85734,1.85734,2.21406
10.872,3.205,4.11605,1.86268,1.86268,2.22241
10.8568,3.28854,4.90578,2.59004,2.59004,2.7526
10.9444,3.39245,5.58117,2.87406,2.87406,3.17811
10.8842,3.36324,5.86743,2.89971,2.89971,2.92118
10.9696,3.43708,4.11075,1.99035,1.99035,2.39356
10.2609,2.90457,5.21091,2.71593,2.71593,2.92962
10.549,3.04678,4.05981,1.90467,1.90467,2.34775
10.9544,3.16314,5.2837,2.17683,2.17683,2.2786
10.6427,3.39714,4.43268,2.69654,2.69654,2.99958
10.3848,3.19088,3.91999,2.30071,2.30071,3.14858
10.617,3.21531,3.96256,2.04617,2.04617,2.63868
10.5255,3.17916,4.81398,2.2394,2.2394,2.31334
10.9529,3.29266,5.23498,2.09353,2.09353,2.17542
10.444,3.14405,4.24758,1.91879,1.91879,2.3625
10.8964,3.33156,5.13279,2.3621,2.3621,2.31107
10.6687,3.14136,4.58721,2.44166,2.44166,2.90441
10.8611,3.18919,3.90714,2.2935,2.2935,2.78658
10.2211,2.91427,6.26185,2.62595,2.62595,2.61056
10.241,2.82345,4.37477,2.48163,2.48163,2.66798
10.2652,2.91273,4.58831,2.51083,2.51083,2.55673
10.6496,3.31851,4.17974,1.74058,1.74058,2.26607
10.5202,2.9349,4.39224,2.0774,2.0774,2.23708
10.9148,3.30675,4.98755,2.59927,2.59927,3.17921
10.8528,3.2797,4.01013,1.75405,1.75405,3.07507
10.6945,3.397,5.81396,2.26843,2.26843,2.50583
10.0667,2.82447,5.49738,2.89343,2.89343,2.8743
10.3612,2.97347,4.80599,2.40498,2.40498,2.79971
10.9473,3.29698,4.45992,2.30213,2.30213,2.48505
10.3985,3.03102,4.41433,1.86464,1.86464,2.16045
10.698,3.17843,4.26405,2.11791,2.11791,2.60792
10.7903,3.21271,5.29248,2.09575,2.09575,2.05356
10.8168,3.39334,4.89152,2.78113,2.78113,2.65435
11.0005,3.41446,5.18031,2.08375,2.08375,2.35483
10.3432,2.92363,4.30173,2.32925,2.32925,2.44532
10.6987,3.20919,5.00102,2.38726,2.38726,2.69681
11.1188,3.40154,4.28268,2.30313,2.30313,2.54165
10.9138,3.34348,3.96018,2.18269,2.18269,2.53673
10.7117,3.26079,4.11625,1.80918,1.80918,2.09306
11.1319,3.4966,4.30876,2.12698,2.12698,2.46164
10.3891,2.87714,5.38924,2.51772,2.51772,2.54653
10.2034,2.84642,4.77814,2.59442,2.59442,2.93345
10.4879,3.01822,4.71294,2.34637,2.34637,2.63201
11.1683,3.36687,4.83732,2.31045,2.31045,2.3771
10.6676,3.37375,4.99627,2.02144,2.02144,2.61853
