,datetime,measured_from,precise,lat,lng,ghpe
0,2024:04:02 14:23:12,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
1,2024:04:02 14:17:53,P2,on,46.050925,14.468441666666667,4.593676239181747
2,2024:04:02 14:16:44,P2,on,46.050925,14.468438888888889,4.767558378813635
3,2024:04:02 14:25:41,P3,off,46.049816666666665,14.497625,5972.520491803279
4,2024:04:02 14:16:50,P2,on,46.05090277777777,14.468411111111111,4.774614627746802
5,2024:04:02 14:20:21,P1,on,46.05073055555555,14.46945,4.739960407239819
6,2024:04:02 14:16:19,P2,on,46.050925,14.468444444444444,4.593676239181747
7,2024:04:02 14:17:49,P2,on,46.050925,14.468441666666667,4.593676241371632
8,2024:04:02 14:19:42,P1,on,46.05072777777777,14.469480555555556,3.5355339046563916
9,2024:04:02 14:30:35,P2,off,46.049816666666665,14.497625,5972.520491803279
10,2024:04:02 14:30:19,P2,off,46.049816666666665,14.497625,5972.520491803279
11,2024:04:02 14:20:28,P1,on,46.05072777777777,14.469436111111111,4.739246457843573
12,2024:04:02 14:20:04,P1,on,46.0507,14.469452777777779,4.593674996470422
13,2024:04:02 14:22:56,P3,on,46.050124999999994,14.4686,4.593675298804781
14,2024:04:02 14:17:07,P2,on,46.05090833333333,14.468391666666667,4.785379759723071
15,2024:04:02 14:32:39,P1,off,46.049816666666665,14.497625,5972.520491803279
16,2024:04:02 14:16:22,P2,on,46.050925,14.468441666666667,4.593676239181747
17,2024:04:02 14:22:53,P3,on,46.05012222222222,14.468602777777777,3.5355339046563916
18,2024:04:02 14:23:23,P3,on,46.05014444444444,14.468591666666667,4.727711363963705
19,2024:04:02 14:23:46,P3,on,46.05014444444444,14.468591666666667,4.731135415847038
20,2024:04:02 14:19:48,P1,on,46.0507,14.469452777777779,4.593674981734683
21,2024:04:02 14:32:39,P1,off,46.049816666666665,14.497625,5972.520491803279
22,2024:04:02 14:16:48,P2,on,46.05090833333333,14.468430555555555,4.779449175976109
23,2024:04:02 14:23:40,P3,on,46.05014444444444,14.468591666666667,4.731950107939554
24,2024:04:02 14:23:24,P3,on,46.05014444444444,14.468591666666667,4.727711363963705
25,2024:04:02 14:23:39,P3,on,46.05014444444444,14.468591666666667,4.732253346833165
26,2024:04:02 14:17:49,P2,on,46.050925,14.468441666666667,4.593676241371632
27,2024:04:02 14:23:15,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
28,2024:04:02 14:17:00,P2,on,46.05090277777777,14.46836388888889,4.771463600516916
29,2024:04:02 14:16:29,P2,on,46.050925,14.468441666666667,4.593676239181747
30,2024:04:02 14:16:23,P2,on,46.050925,14.468441666666667,4.593676239181747
31,2024:04:02 14:20:33,P1,on,46.050725,14.469436111111111,4.737548138639281
32,2024:04:02 14:25:40,P3,off,46.049816666666665,14.497625,5972.520491803279
33,2024:04:02 14:17:59,P2,on,46.050925,14.468441666666667,4.593676239181747
34,2024:04:02 14:25:39,P3,off,46.049816666666665,14.497625,5972.520491803279
35,2024:04:02 14:32:34,P1,off,46.049816666666665,14.497625,5972.520491803279
36,2024:04:02 14:23:39,P3,on,46.05014444444444,14.468591666666667,4.732434498575301
37,2024:04:02 14:16:45,P2,on,46.050913888888886,14.468441666666667,4.772306901866758
38,2024:04:02 14:32:38,P1,off,46.049816666666665,14.497625,5972.520491803279
39,2024:04:02 14:20:37,P1,on,46.050725,14.469436111111111,4.73551649410065
40,2024:04:02 14:32:21,P1,off,46.049816666666665,14.497625,5972.520491803279
41,2024:04:02 14:32:32,P1,off,46.049816666666665,14.497625,5972.520491803279
42,2024:04:02 14:19:45,P1,on,46.050713888888886,14.46946111111111,3.5355339046563916
43,2024:04:02 14:23:38,P3,on,46.05014444444444,14.468591666666667,4.731654831073811
44,2024:04:02 14:25:32,P3,off,46.049816666666665,14.497625,5972.520491803279
45,2024:04:02 14:25:37,P3,off,46.049816666666665,14.497625,5972.520491803279
46,2024:04:02 14:20:35,P1,on,46.050725,14.469436111111111,4.735284918996685
47,2024:04:02 14:17:08,P2,on,46.05090833333333,14.468391666666667,4.785379759723071
48,2024:04:02 14:23:12,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
49,2024:04:02 14:26:40,P3,off,46.049816666666665,14.497625,5972.520491803279
50,2024:04:02 14:19:59,P1,on,46.0507,14.469452777777779,4.593674996470422
51,2024:04:02 14:25:49,P3,off,46.049816666666665,14.497625,5972.520491803279
52,2024:04:02 14:25:55,P3,off,46.049816666666665,14.497625,5972.520491803279
53,2024:04:02 14:16:45,P2,on,46.05091944444444,14.468436111111112,4.7699010769188614
54,2024:04:02 14:17:57,P2,on,46.050925,14.468441666666667,4.593676239181747
55,2024:04:02 14:23:03,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
56,2024:04:02 14:20:15,P1,on,46.05073055555555,14.46945,4.73981450811527
57,2024:04:02 14:16:55,P2,on,46.05090277777777,14.468377777777778,4.768589914029956
58,2024:04:02 14:20:18,P1,on,46.05073055555555,14.46945,4.740037900018683
59,2024:04:02 14:30:24,P2,off,46.049816666666665,14.497625,5972.520491803279
60,2024:04:02 14:20:30,P1,on,46.050725,14.469436111111111,4.738885474288056
61,2024:04:02 14:20:16,P1,on,46.05073055555555,14.46945,4.7400038020404285
62,2024:04:02 14:30:17,P2,off,46.049816666666665,14.497625,5972.520491803279
63,2024:04:02 14:26:38,P3,off,46.049816666666665,14.497625,5972.520491803279
64,2024:04:02 14:32:29,P1,off,46.049816666666665,14.497625,5972.520491803279
65,2024:04:02 14:30:26,P2,off,46.049816666666665,14.497625,5972.520491803279
66,2024:04:02 14:32:18,P1,off,46.049816666666665,14.497625,5972.520491803279
67,2024:04:02 14:32:22,P1,off,46.049816666666665,14.497625,5972.520491803279
68,2024:04:02 14:16:43,P2,on,46.050925,14.468444444444444,4.78649717880537
69,2024:04:02 14:17:43,P2,on,46.050925,14.468441666666667,3.5355339046563916
70,2024:04:02 14:23:42,P3,on,46.05014444444444,14.468591666666667,4.731677514276452
71,2024:04:02 14:23:07,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
72,2024:04:02 14:17:58,P2,on,46.050925,14.468441666666667,4.593676239181747
73,2024:04:02 14:25:47,P3,off,46.049816666666665,14.497625,5972.520491803279
74,2024:04:02 14:23:01,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
75,2024:04:02 14:30:30,P2,off,46.049816666666665,14.497625,5972.520491803279
76,2024:04:02 14:20:01,P1,on,46.0507,14.469452777777779,4.593674996470422
77,2024:04:02 14:32:37,P1,off,46.049816666666665,14.497625,5972.520491803279
78,2024:04:02 14:23:43,P3,on,46.05014444444444,14.468591666666667,4.731435613062231
79,2024:04:02 14:20:39,P1,on,46.050725,14.469436111111111,4.735364075807565
80,2024:04:02 14:32:36,P1,off,46.049816666666665,14.497625,5972.520491803279
81,2024:04:02 14:20:06,P1,on,46.0507,14.469452777777779,4.593674996470422
82,2024:04:02 14:17:39,P2,on,46.050925,14.468441666666667,3.5355339046563916
83,2024:04:02 14:30:23,P2,off,46.049816666666665,14.497625,5972.520491803279
84,2024:04:02 14:23:21,P3,on,46.05014444444444,14.468591666666667,4.723331820245121
85,2024:04:02 14:16:32,P2,on,46.050925,14.468441666666667,4.593676239181747
86,2024:04:02 14:16:39,P2,on,46.05092222222222,14.468447222222222,4.776587967144025
87,2024:04:02 14:32:28,P1,off,46.049816666666665,14.497625,5972.520491803279
88,2024:04:02 14:23:45,P3,on,46.05014444444444,14.468591666666667,4.731547937868238
89,2024:04:02 14:32:44,P1,off,46.049816666666665,14.497625,5972.520491803279
90,2024:04:02 14:16:24,P2,on,46.050925,14.468441666666667,4.593676239181747
91,2024:04:02 14:32:24,P1,off,46.049816666666665,14.497625,5972.520491803279
92,2024:04:02 14:25:44,P3,off,46.049816666666665,14.497625,5972.520491803279
93,2024:04:02 14:32:20,P1,off,46.049816666666665,14.497625,5972.520491803279
94,2024:04:02 14:23:07,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
95,2024:04:02 14:20:28,P1,on,46.05072777777777,14.469436111111111,4.739444858024035
96,2024:04:02 14:16:42,P2,on,46.050925,14.46845,4.774487017730261
97,2024:04:02 14:20:20,P1,on,46.05073055555555,14.46945,4.739960407239819
98,2024:04:02 14:20:20,P1,on,46.05073055555555,14.46945,4.739374561335101
99,2024:04:02 14:20:10,P1,on,46.05073055555555,14.46945,4.7384189905508185
100,2024:04:02 14:20:23,P1,on,46.05073055555555,14.46945,4.7398665982555155
101,2024:04:02 14:20:37,P1,on,46.050725,14.469436111111111,4.735099582455751
102,2024:04:02 14:30:21,P2,off,46.049816666666665,14.497625,5972.520491803279
103,2024:04:02 14:20:11,P1,on,46.05073055555555,14.46945,4.7384189905508185
104,2024:04:02 14:17:52,P2,on,46.050925,14.468441666666667,4.593676239181747
105,2024:04:02 14:23:06,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
106,2024:04:02 14:30:06,P2,off,46.049816666666665,14.497625,5972.520491803279
107,2024:04:02 14:25:35,P3,off,46.049816666666665,14.497625,5972.520491803279
108,2024:04:02 14:23:01,P3,on,46.05014166666666,14.468591666666667,4.593675322606341
109,2024:04:02 14:25:31,P3,off,46.049816666666665,14.497625,5972.520491803279
110,2024:04:02 14:25:33,P3,off,46.049816666666665,14.497625,5972.520491803279
111,2024:04:02 14:30:34,P2,off,46.049816666666665,14.497625,5972.520491803279
112,2024:04:02 14:32:40,P1,off,46.049816666666665,14.497625,5972.520491803279
113,2024:04:02 14:23:37,P3,on,46.05014444444444,14.468591666666667,4.731399335982148
114,2024:04:02 14:16:52,P2,on,46.05090833333333,14.468394444444444,4.779635684259691
115,2024:04:02 14:23:26,P3,on,46.05014444444444,14.468591666666667,4.729643219611211
116,2024:04:02 14:22:57,P3,on,46.050124999999994,14.4686,4.593675298804781
117,2024:04:02 14:17:55,P2,on,46.050925,14.468441666666667,4.593676239181747
118,2024:04:02 14:16:52,P2,on,46.05090277777777,14.468388888888889,4.776693747279849
119,2024:04:02 14:17:06,P2,on,46.050911111111105,14.468366666666666,4.7848482772792655
120,2024:04:02 14:32:19,P1,off,46.049816666666665,14.497625,5972.520491803279
121,2024:04:02 14:32:16,P1,off,46.049816666666665,14.497625,5972.520491803279
122,2024:04:02 14:20:10,P1,on,46.05073055555555,14.46945,4.740751186950595
123,2024:04:02 14:19:55,P1,on,46.0507,14.469452777777779,4.593674996470422
124,2024:04:02 14:32:42,P1,off,46.049816666666665,14.497625,5972.520491803279
125,2024:04:02 14:30:11,P2,off,46.049816666666665,14.497625,5972.520491803279
126,2024:04:02 14:32:31,P1,off,46.049816666666665,14.497625,5972.520491803279
127,2024:04:02 14:22:59,P3,on,46.050124999999994,14.4686,4.593675307961022
128,2024:04:02 14:30:38,P2,off,46.049816666666665,14.497625,5972.520491803279
129,2024:04:02 14:16:49,P2,on,46.05090277777777,14.468411111111111,4.774614627746802
130,2024:04:02 14:17:38,P2,on,46.050925,14.468441666666667,3.5355339046563916
131,2024:04:02 14:23:20,P3,on,46.05014444444444,14.468591666666667,4.723331820245121
132,2024:04:02 14:20:27,P1,on,46.05072777777777,14.469436111111111,4.739444858024035
133,2024:04:02 14:16:35,P2,on,46.05093055555555,14.468436111111112,4.770717131474104
134,2024:04:02 14:25:32,P3,off,46.049816666666665,14.497625,5972.520491803279
135,2024:04:02 14:32:30,P1,off,46.049816666666665,14.497625,5972.520491803279
136,2024:04:02 14:32:25,P1,off,46.049816666666665,14.497625,5972.520491803279
137,2024:04:02 14:32:22,P1,off,46.049816666666665,14.497625,5972.520491803279
138,2024:04:02 14:20:16,P1,on,46.05073055555555,14.46945,4.73969226172692
139,2024:04:02 14:25:51,P3,off,46.049816666666665,14.497625,5972.520491803279
140,2024:04:02 14:30:22,P2,off,46.049816666666665,14.497625,5972.520491803279
141,2024:04:02 14:29:52,P2,off,46.049816666666665,14.497625,5972.520491803279
142,2024:04:02 14:25:42,P3,off,46.049816666666665,14.497625,5972.520491803279
143,2024:04:02 14:23:38,P3,on,46.05014444444444,14.468591666666667,4.731654831073811
144,2024:04:02 14:30:13,P2,off,46.049816666666665,14.497625,5972.520491803279
145,2024:04:02 14:23:40,P3,on,46.05014444444444,14.468591666666667,4.732434498575301
146,2024:04:02 14:17:46,P2,on,46.050925,14.468441666666667,4.593676239181747
147,2024:04:02 14:22:58,P3,on,46.050124999999994,14.4686,4.593675298804781
148,2024:04:02 14:32:21,P1,off,46.049816666666665,14.497625,5972.520491803279
149,2024:04:02 14:30:27,P2,off,46.049816666666665,14.497625,5972.520491803279
150,2024:04:02 14:19:56,P1,on,46.0507,14.469452777777779,4.593674996470422
151,2024:04:02 14:16:27,P2,on,46.050925,14.468441666666667,4.593676239181747
152,2024:04:02 14:32:33,P1,off,46.049816666666665,14.497625,5972.520491803279
153,2024:04:02 14:25:48,P3,off,46.049816666666665,14.497625,5972.520491803279
154,2024:04:02 14:19:53,P1,on,46.0507,14.469452777777779,4.59367498799808
155,2024:04:02 14:23:26,P3,on,46.05014444444444,14.468591666666667,4.7292824353708625
156,2024:04:02 14:30:31,P2,off,46.049816666666665,14.497625,5972.520491803279
157,2024:04:02 14:23:28,P3,on,46.05014444444444,14.468591666666667,4.729444980030299
158,2024:04:02 14:16:56,P2,on,46.05090277777777,14.468375,4.774159197799272
159,2024:04:02 14:26:40,P3,off,46.049816666666665,14.497625,5972.520491803279
160,2024:04:02 14:23:31,P3,on,46.05014444444444,14.468591666666667,4.728781619192578
161,2024:04:02 14:20:29,P1,on,46.05072777777777,14.469436111111111,4.739246457843573
162,2024:04:02 14:17:03,P2,on,46.05090833333333,14.468380555555555,4.778870084619213
163,2024:04:02 14:20:03,P1,on,46.0507,14.469452777777779,4.593674996470422
164,2024:04:02 14:25:36,P3,off,46.049816666666665,14.497625,5972.520491803279
