mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
25.4128,2.96607,10.9492,-0.641498,-0.641498,0.0742961
25.4824,2.96473,11.8646,-0.61018,-0.61018,0.063996
25.4564,2.95809,12.5068,-0.631893,-0.631893,0.0649446
25.4923,2.96713,11.5347,-0.655695,-0.655695,0.0760326
25.4475,2.95873,11.2757,-0.648129,-0.648129,0.0753896
25.5582,2.96621,10.2971,-0.537166,-0.537166,0.0699162
25.4474,2.96355,11.078,-0.58073,-0.58073,0.061247
25.0885,2.99202,11.4444,-0.644573,-0.644573,0.07163
25.6918,2.95148,10.7403,-0.552992,-0.552992,0.0671009
25.2973,2.96535,11.8657,-0.691907,-0.691907,0.0770079
25.7615,2.9614,9.1166,-0.475661,-0.475661,0.0647612
25.3439,2.95436,11.6924,-0.579217,-0.579217,0.0627494
25.3882,2.99029,10.886,-0.654917,-0.654917,0.0751075
25.2952,2.98808,11.307,-0.652809,-0.652809,0.0742536
25.6152,2.97011,10.241,-0.514605,-0.514605,0.0600777
25.7564,2.94522,9.58337,-0.546138,-0.546138,0.0669298
25.2314,2.97802,11.8345,-0.575462,-0.575462,0.0671223
25.4458,2.96399,11.1935,-0.65134,-0.65134,0.0760431
25.3955,2.98851,13.3617,-0.718389,-0.718389,0.0777788
25.8125,2.95333,10.1951,-0.561429,-0.561429,0.0640089
25.8325,2.93884,10.8745,-0.561164,-0.561164,0.0651607
25.2571,2.97706,11.2389,-0.603615,-0.603615,0.0670804
25.5854,2.95609,10.8444,-0.564389,-0.564389,0.0685345
25.5727,2.96854,11.0136,-0.601046,-0.601046,0.0652277
25.5278,2.96961,11.1972,-0.5924,-0.5924,0.0636919
25.6314,2.96532,10.9086,-0.613384,-0.613384,0.0710103
25.3929,2.95691,12.4472,-0.673226,-0.673226,0.0745235
25.7163,2.96083,10.9776,-0.641341,-0.641341,0.0703454
25.4625,2.95279,11.4774,-0.586136,-0.586136,0.0627728
25.5093,2.96447,11.2041,-0.648162,-0.648162,0.0701141
25.4466,2.96344,10.2198,-0.522037,-0.522037,0.0615402
25.6514,2.97144,10.9659,-0.570596,-0.570596,0.0638379
25.4448,2.94661,11.3893,-0.636965,-0.636965,0.0696546
25.5147,2.9423,11.3494,-0.641173,-0.641173,0.0700467
25.4712,2.97561,9.58119,-0.476415,-0.476415,0.0577762
25.406,2.95739,9.76924,-0.524328,-0.524328,0.0649584
25.605,2.95341,11.5697,-0.583466,-0.583466,0.0650471
25.5934,2.94012,11.5987,-0.58006,-0.58006,0.0635814
25.3519,2.95904,10.9966,-0.597895,-0.597895,0.0695
25.5239,2.97617,10.6576,-0.585993,-0.585993,0.0644396
25.7917,2.9401,11.3561,-0.650097,-0.650097,0.0781632
25.2162,2.98328,10.4567,-0.548934,-0.548934,0.0671284
25.8936,2.93313,11.3663,-0.616649,-0.616649,0.0668835
